id,title
1,寒门枭士
2,武炼巅峰
3,大主宰
4, 绝世药神
5,圣墟
6,修罗武神
7,重生最强妖兽
8,沧元图
9,凡人修仙之仙界篇（凡人修仙传仙界篇）
10,诡秘之主
11,纯阳武神
12,不科学御兽
13,斗破苍穹
15,极品捉鬼系统
16,白银霸主
17, 超神打卡
18,全职法师
19,龙王传说
20,盗天仙途
21,极道天魔
22,逐道长青
23,修仙从地煞七十二术开始
24,玄界之门
25,洪主
26,最强装逼打脸系统（最强反套路系统）
27,大数据修仙
28,凡人修仙传
29,斗战狂潮
30,武侠：开局奖励满级神功
31,沈氏家族崛起
32,三寸人间
33,剑徒之路
34,我在镇抚司探案那些年
35,大奉打更人
36,逆天红包神仙群系统
37,重生之魔教教主
38,洪荒之开局炖了鲲鹏妖师
39,透视小邪医
40,最强狂兵
41,彪悍的人生
42,深空彼岸
43,夜的命名术
44,捡宝王
45,医流狂兵
46,开错外挂怎么办
47,腾飞我的航空时代
48,手术直播间
49,我真是大明星
50,重生之搏浪大时代
51,我的1979
52,我在魔都修道那些年
53,影视世界的神豪
54,向往的宅村系统
55,无敌悍民
56,重回70年从放牧开始
57,逍遥游
58,公子千秋
59,数风流人物
60,诛明
61,天下第一医馆
62,唐朝好地主
63,长乐歌
64,三国从救糜夫人开始
65,迷踪谍影
66,明士
67,万千世界许愿系统
68,席卷晚明
69,第三帝国
70,我，直播创造精灵
71,我要做门阀
72,赘婿
73,猛卒
74,重返1977
75,奋斗在洪武末年
76,超级运动专家
77,网游之逆天飞扬
78,峡谷正能量
79,三国神话世界
80,超神机械师
81,诸天万界神龙系统
82,网游之最强传说
83,我能看见经验值
84,在修仙界玩网游
85,天道基因库
86,网游之开局献祭了雷霆主神
87,亏成首富从游戏开始
88,网游之九转轮回
89,次元法典
90,大盗贼
91,球场教父
92,吃鸡之无限升级系统
93,王者荣耀之超神抽奖系统
94,从MC开始的异界生活
95,从1983开始
96,机械炼金术士
97,万界真武系统
98,体验派影帝
99,李青的奇妙冒险
100,基因武道
117,100分宠妻：霸道冷少，小心吻
118,1627崛起南海
119,1640四海扬帆
120,1852铁血中华
121,1855美国大亨
122,1875我来自未来
123,1908之钢铁雄心
124,1908远东狂人
125,1926之崛起
126,1937全球速递
127,1949我来自未来
128,1984之狂潮
129,1号宠婚：军少追妻忙
130,1号小鲜妻：慕少，来亲亲！
131,1号新妻：老公，宠上瘾！
132,1号追妻令：吻安，甜心
